"","site_id","TriggerID","ImageFile1","ImageDate1","ImageFile2","ImageDate2","subject_id","top_identity","top_value","consensus_pct"
"60","GCBAR","GCBAR_CC_06Dec2021_09160005_frame1","09160005_frame_101.png","9/16/2021 11:55","09160005_frame_102.png","9/16/2021 11:55","99781266","RACCOON","arw","arw"
"61","GCBAR","GCBAR_CC_06Dec2021_09180006_frame1","09180006_frame_101.png","9/18/2021 10:38","09180006_frame_102.png","9/18/2021 10:38","99781267","RINGTAIL","arw","arw"
"62","GCBAR","GCBAR_CC_06Dec2021_09180007_frame1","09180007_frame_101.png","9/19/2021 3:41","09180007_frame_102.png","9/19/2021 3:41","99781268","RACCOON","arw","arw"
"63","GCBAR","GCBAR_CC_06Dec2021_09210008_frame1","09210008_frame_101.png","9/21/2021 9:42","09210008_frame_102.png","9/21/2021 9:42","99781269","RINGTAIL","arw","arw"
"64","GCBAR","GCBAR_CC_06Dec2021_09220009_frame1","09220009_frame_101.png","9/22/2021 11:00","09220009_frame_102.png","9/22/2021 11:00","99781270","RACCOON","arw","arw"
"65","GCBAR","GCBAR_CC_06Dec2021_09250010_frame1","09250010_frame_101.png","9/25/2021 12:23","09250010_frame_102.png","9/25/2021 12:23","99781271","RACCOON","arw","arw"
"66","GCBAR","GCBAR_CC_06Dec2021_10150014_frame1","10150014_frame_101.png","10/16/2021 4:19","10150014_frame_102.png","10/16/2021 4:19","99781275","RACCOON","arw","arw"
"67","GCBAR","GCBAR_CC_06Dec2021_10170019_frame1","10170019_frame_101.png","10/17/2021 11:39","10170019_frame_102.png","10/17/2021 11:39","99781279","RACCOON","arw","arw"
"68","GCBAR","GCBAR_CC_06Dec2021_10180020_frame1","10180020_frame_101.png","10/18/2021 13:11","10180020_frame_102.png","10/18/2021 13:11","99781280","RACCOON","arw","arw"
"69","GCBAR","GCBAR_CC_06Dec2021_10180022_frame1","10180022_frame_101.png","10/18/2021 13:42","10180022_frame_102.png","10/18/2021 13:42","99781281","RACCOON","arw","arw"
"70","GCBAR","GCBAR_CC_06Dec2021_10190026_frame1","10190026_frame_101.png","10/19/2021 13:36","10190026_frame_102.png","10/19/2021 13:36","99781285","RACCOON","arw","arw"
"71","GCBAR","GCBAR_CC_06Dec2021_10200027_frame1","10200027_frame_101.png","10/20/2021 12:54","10200027_frame_102.png","10/20/2021 12:54","99781286","RACCOON","arw","arw"
"72","GCBAR","GCBAR_CC_06Dec2021_10210038_frame1","10210038_frame_101.png","10/21/2021 10:39","10210038_frame_102.png","10/21/2021 10:39","99781295","RACCOON","arw","arw"
"73","GCBAR","GCBAR_CC_06Dec2021_10210039_frame1","10210039_frame_101.png","10/21/2021 13:06","10210039_frame_102.png","10/21/2021 13:06","99781296","RACCOON","arw","arw"
